"id","varname","month","coef","significant","ci_lower","ci_upper","tree.uniqueID"
1,"spei1","Oct",0.261073228238828,FALSE,-0.11053603848776,0.53265517020604,"12ac2_1"
2,"spei1","Nov",-0.0795000522518172,FALSE,-0.264788173500462,0.0937830053599941,"12ac2_1"
3,"spei1","Dec",-0.0997470530260193,FALSE,-0.348038302284843,0.0846036674121151,"12ac2_1"
4,"spei1","JAN",0.306960795986762,TRUE,0.0769102660619277,0.488915053819946,"12ac2_1"
5,"spei1","FEB",0.13317177073523,FALSE,-0.150549765180441,0.325423720365597,"12ac2_1"
6,"spei1","MAR",0.0484474874197826,FALSE,-0.123125163500514,0.22073131916746,"12ac2_1"
7,"spei1","APR",0.106791700688584,FALSE,-0.0959881612687969,0.319472867566996,"12ac2_1"
8,"spei1","MAY",0.0889088667961316,FALSE,-0.084164237830592,0.265201297267841,"12ac2_1"
9,"spei1","JUN",0.0694887875966351,FALSE,-0.118398321727183,0.238496021201165,"12ac2_1"
10,"spei1","JUL",0.206979562417585,FALSE,-0.0210090158812822,0.390292934007844,"12ac2_1"
11,"spei1","AUG",-0.0701924218819004,FALSE,-0.261117143113781,0.142939341259827,"12ac2_1"
12,"spei1","SEP",0.0248640702701069,FALSE,-0.163354061278518,0.21265012403359,"12ac2_1"
13,"tmean_C","Oct",-0.107589539902848,FALSE,-0.28024693880256,0.135556347449936,"12ac2_1"
14,"tmean_C","Nov",-0.0796182610917801,FALSE,-0.284620577712296,0.191961897736582,"12ac2_1"
15,"tmean_C","Dec",0.127058028585532,FALSE,-0.0546987614762278,0.315888312041691,"12ac2_1"
16,"tmean_C","JAN",0.0342699673573025,FALSE,-0.153271992872575,0.241330540490862,"12ac2_1"
17,"tmean_C","FEB",0.0259713109346466,FALSE,-0.17688563734699,0.297843505264982,"12ac2_1"
18,"tmean_C","MAR",-0.0095610364718414,FALSE,-0.208346789434314,0.207865100016271,"12ac2_1"
19,"tmean_C","APR",-0.010079327553485,FALSE,-0.21083180067638,0.19583928696527,"12ac2_1"
20,"tmean_C","MAY",0.0588624384147171,FALSE,-0.185796522370933,0.254604839546454,"12ac2_1"
21,"tmean_C","JUN",-0.0682313635728375,FALSE,-0.257819735020966,0.13043066824341,"12ac2_1"
22,"tmean_C","JUL",-0.0840654230891891,FALSE,-0.430228460942642,0.183442570627227,"12ac2_1"
23,"tmean_C","AUG",-0.0746061198847734,FALSE,-0.366433014044724,0.155999429747346,"12ac2_1"
24,"tmean_C","SEP",-0.040549633472334,FALSE,-0.225879053076102,0.189747568583725,"12ac2_1"
1,"spei1","Oct",0.292655391901964,FALSE,-0.0105141802136042,0.469306473537895,"12ac2_2"
2,"spei1","Nov",-0.0826740147368399,FALSE,-0.332595763275626,0.175337241483551,"12ac2_2"
3,"spei1","Dec",-0.00270199369502708,FALSE,-0.341065531219615,0.305144525721178,"12ac2_2"
4,"spei1","JAN",0.285912265334584,TRUE,0.107483675449625,0.420434573749216,"12ac2_2"
5,"spei1","FEB",0.159804244575117,FALSE,-0.108416958728386,0.370540839827569,"12ac2_2"
6,"spei1","MAR",0.0959474779136297,FALSE,-0.11102272683189,0.322543832693613,"12ac2_2"
7,"spei1","APR",0.00727217739277878,FALSE,-0.22949526463903,0.269616093651218,"12ac2_2"
8,"spei1","MAY",0.165998968468466,FALSE,-0.0163706103703362,0.332145166428298,"12ac2_2"
9,"spei1","JUN",0.225143431306013,FALSE,-0.0807780000818187,0.445156775046756,"12ac2_2"
10,"spei1","JUL",0.433642903828117,TRUE,0.164599075137508,0.65373521818957,"12ac2_2"
11,"spei1","AUG",0.0358630336851888,FALSE,-0.231683162380974,0.280061708256365,"12ac2_2"
12,"spei1","SEP",0.181914722424762,FALSE,-0.0433261110900941,0.335318591602347,"12ac2_2"
13,"tmean_C","Oct",-0.0931326967890829,FALSE,-0.270168885469546,0.0879544716494106,"12ac2_2"
14,"tmean_C","Nov",-0.0596763192789963,FALSE,-0.402974130129791,0.328570428761805,"12ac2_2"
15,"tmean_C","Dec",0.0757086084390427,FALSE,-0.214486607730594,0.352730076955943,"12ac2_2"
16,"tmean_C","JAN",-0.00304717925542077,FALSE,-0.163978903402229,0.152051653519335,"12ac2_2"
17,"tmean_C","FEB",-0.12759332618504,FALSE,-0.346665261088249,0.153953392881783,"12ac2_2"
18,"tmean_C","MAR",-0.166223280350416,FALSE,-0.386626211748903,0.0287319343508409,"12ac2_2"
19,"tmean_C","APR",-0.0205413526010737,FALSE,-0.244558940350815,0.228621923289791,"12ac2_2"
20,"tmean_C","MAY",-0.0546564178330006,FALSE,-0.253684943874341,0.130191705713045,"12ac2_2"
21,"tmean_C","JUN",-0.176250621712508,FALSE,-0.417755780437768,0.0704962625294182,"12ac2_2"
22,"tmean_C","JUL",-0.441147119206719,TRUE,-0.776940448231894,-0.122785358105493,"12ac2_2"
23,"tmean_C","AUG",-0.0863287853853249,FALSE,-0.378574835145862,0.261099742409933,"12ac2_2"
24,"tmean_C","SEP",-0.204199395303337,TRUE,-0.416449676007134,-0.0518202031210838,"12ac2_2"
1,"spei1","Oct",0.392574903540069,TRUE,0.107431253911394,0.581039124643955,"12ac2_12"
2,"spei1","Nov",0.132673199874267,FALSE,-0.00262888036510434,0.31543538419678,"12ac2_12"
3,"spei1","Dec",-0.128990305254237,FALSE,-0.298105212106731,-0.0167008046995617,"12ac2_12"
4,"spei1","JAN",0.204288588502974,FALSE,-0.095524153219644,0.392320743795212,"12ac2_12"
5,"spei1","FEB",0.215865156731365,TRUE,0.0198343136330784,0.364234914627661,"12ac2_12"
6,"spei1","MAR",0.304593929625425,TRUE,0.102569923111558,0.522569632633753,"12ac2_12"
7,"spei1","APR",0.330487041731464,TRUE,0.0395323502420402,0.527523793619875,"12ac2_12"
8,"spei1","MAY",0.247972910512529,TRUE,0.0530751505154242,0.404874077624925,"12ac2_12"
9,"spei1","JUN",0.308864163138307,TRUE,0.00353337922314217,0.491238436798621,"12ac2_12"
10,"spei1","JUL",0.502291416063102,TRUE,0.32780625610889,0.6470608072827,"12ac2_12"
11,"spei1","AUG",0.0960518365681537,FALSE,-0.101386995358906,0.23695318218047,"12ac2_12"
12,"spei1","SEP",0.0968802107306702,FALSE,-0.228933423946952,0.265368927939614,"12ac2_12"
13,"tmean_C","Oct",-0.196282687879081,FALSE,-0.351773017426174,0.0416906028463661,"12ac2_12"
14,"tmean_C","Nov",-0.361419877602448,TRUE,-0.489148976903885,-0.268021330101582,"12ac2_12"
15,"tmean_C","Dec",0.0523424167939464,FALSE,-0.230024109491897,0.306781667082961,"12ac2_12"
16,"tmean_C","JAN",0.16080500468328,FALSE,0.0292866875265382,0.378765589952167,"12ac2_12"
17,"tmean_C","FEB",0.00380983953855362,FALSE,-0.162591091291972,0.311806607642806,"12ac2_12"
18,"tmean_C","MAR",-0.30075596999201,TRUE,-0.46914009532159,-0.0865992834460066,"12ac2_12"
19,"tmean_C","APR",-0.364964056783909,TRUE,-0.559023568799906,-0.141978245731202,"12ac2_12"
